,Accuracy,Precision,Recall,F1-score,AUC-ROC
Logistic Regression,0.6726461916011941,0.2848698210860941,0.5597253768325419,0.3775746496039001,0.6806246984394752
Random Forest,0.8078768565829716,0.42145855706336033,0.22284740863101382,0.29154144859024145,0.6893762900540839
XGBoost w/o SMOTE,0.6817574125963775,0.30347012827720143,0.6130497625438778,0.4059754555088367,0.7128654768525705
XGBoost with SMOTE,0.825082870904529,0.5283494330113397,0.12987817468511254,0.20850252755448745,0.7063135721558534
LightGBM W/O SMOTE,0.6785341464754684,0.3029209880254522,0.6241998761098493,0.4078934052960027,0.7166117541822878
LightGBM with SMOTE,0.8243869384466055,0.5196674776966748,0.13230435680363412,0.21091178406846608,0.7087929470582331
MLP,0.8052121678296065,0.41094863142107235,0.22630600867231054,0.2918774966711052,0.6807296399736186
